Contract Number,Description,Start Date,End Date,Vendor Name,Total Amount,Amount Spent,Procurement Method,Trade Type,Category,Location,Contract Status
1904367,Healthy Homes - Lead Based Paint Inspection and Related Services at Various Developments in all Five (5) Boroughs (LEADHA047972 - D. Artopiades),4/1/2019,8/19/2023,LEW ENVIRONMENTAL SERVICES LLC,"$15,781,596.45","$15,174,191.63",COMPETETIVE RFP,Service,EN-ENVIRONMENTAL.1CM,HEALTHY HOMES,Expired
1904370,Healthy Homes - Lead Based Pain Inspection and Related Services at Various Developments in all Five (5) Boroughs (LEADHA047972 - D. Artopiades),4/1/2019,1/22/2024,THE ALC GROUP LLC DBA ALC ENVIRONMENTAL,"$15,781,596.45","$3,896,280.32",COMPETETIVE RFP,Service,EN-ENVIRONMENTAL.1CM,HEALTHY HOMES,Expired
1904371,Healthy Homes - Lead Based Paint Inspection and Related Services at Various Developments in all 5 Boroughs. (LEADHA047972-D.Artopiades),4/1/2019,5/3/2024,TRC ENVIRONMENTAL CORPORATION,"$15,781,596.45","$11,017,223.95",COMPETETIVE RFP,Service,EN-ENVIRONMENTAL.1CM,HEALTHY HOMES,Active
1833555,Program Manager for City Funded Projects - II,4/1/2019,5/1/2024,"AECOM USA, INC","$100,000,000.00","$80,511,610.72",SEALED BID,Decar,PS-PROFESSIONAL SERVICES AUGMENTATION.STAFF AUGMENTATION,VARIOUS PROJECT-VARP,Active
1833559,PROGRAM MANAGEMENT SERVICES- CITY FUNDED PROJECTS,4/1/2019,5/1/2024,JACOBS PROJECT MANAGEMENT CO,"$100,000,000.00","$31,823,989.52",SEALED BID,Decar,PS-PROFESSIONAL SERVICES AUGMENTATION.STAFF AUGMENTATION,VARIOUS PROJECTS-0976,Active
1429246,RESTORATION ASSOCIATED WITH THE SRP - SANDY RECOVERY,3/29/2019,2/20/2023,NAVILLUS TILE INC D/B/A NAVILLUS CONTRACTING,"$3,850,000.00","$3,850,000.00",SEALED BID,Decar,GR-GENERAL RENOVATION TYPE A.1CM,NEW LANE AREA-0306,Expired
1907949,HR Employment - Inclusion of Employee Data in the New York City Automated Payroll System - (HUMANR050081 - P. Lindo),3/28/2019,3/27/2024,NYC OFFICE OF LABOR RELATIONS,"$1,557,134.42","$1,557,134.42",GOV_TO_GOV,Service,PS-PROFESSIONAL SERVICES OTHER.1CM,HR EMPLOYMENT-0017,Expired
1907997,"Unity Plaza (Sites 4-27), Unity Plaza (Sites 17,24,25A), Florentino Plaza & L.I. Baptist, Mixed Finance - Installation of Vinyl Floor Tile & Removal & Installation of Floor Tile In Apartments - (PROCUR042352 - S. Steverson)",3/28/2019,10/11/2020,AMIT CONSTRUCTION CORP.,"$162,716.77","$85,780.84",SEALED BID,Service,TL-TILE.1CM,UNITY PZA 4-27-0318,Expired
1833360,"Various Queens Developments - Survey, Testing, Repair & Alterations to Fire Alarm Systems - (TECHNI046269 - M. Coggins)",3/28/2019,6/30/2023,"ALDONA FIRE PROTECTION, INC. A/K/A ALDONA","$1,490,888.12","$883,046.04",SEALED BID,Service,FR-FIRE ALARM INSTALL/INSPECT/REPAIR.1CM,FIRE SAFETY DEPARTMENT (0158),Expired
1907397,THROGGS NECK-INSTALL & REMOVAL OF VCT FLOOR TILES IN APARTMENTS-(PROPER049662),3/27/2019,10/13/2019,"BEESLA PAINTING CO., INC.","$100,613.98","$30,634.27",SMALL PURCHASE,Service,TL-TILE.1CM,THROGGS NECK-0218,Expired
1833361,"Various Manhattan South Developments - Survey, Testing, Repair & Alterations to Fire Alarm Systems - (TECHNI046268 - M. Coggins)",3/27/2019,7/13/2023,"ALDONA FIRE PROTECTION, INC. A/K/A ALDONA","$1,959,156.65","$828,619.30",SEALED BID,Service,FR-FIRE ALARM INSTALL/INSPECT/REPAIR.1CM,FIRE SAFETY DEPARTMENT (0158),Expired
1907383,M.A.R & JACKSON HOUSES-INSTALL VCT FLOOR TILES IN APARTMENTS-(PROPER049646),3/26/2019,8/1/2019,"BEESLA PAINTING CO., INC.","$100,252.86","$99,904.68",SMALL PURCHASE,Service,TL-TILE.1CM,MORRISANIA AIR -0385,Expired
1907685,Accounting Dept- Tax Return Preparation Services - (FINANC048200 - C. Steinmetz),3/26/2019,3/25/2024,NOVOGRADAC & COMPANY LLP,"$235,500.00","$126,098.42",COMPETETIVE RFP,Service,LO-PROFESSIONAL SERVICES LEGAL OTHER.1CM,ACCOUNTING & FISCAL - OTC,Expired
1906605,Commercial Grade Door Sweeps Pest Control,3/26/2019,3/25/2022,"GLOBAL MATERIAL TECHNOLOGIES, INC","$1,148,662.00","$1,078,619.50",SEALED BID,Materials,HARDWARE.METALS - ALUMINUM BRASS COPPER,CityWide/L.I.C. Warehouse,Expired
1907555,"Drew Hamilton & P.S. 139 (Conversion) Houses, Mixed Finance - Installation of Vinyl Floor Tile & Removal & Installation of Vinyl Floor Tile in Apartments - (NEXTGE042241 - S. Steverson)",3/25/2019,10/1/2020,RAVINDER KAUR/USA 2 CONSTRUCTION INC,"$169,272.68","$106,353.50",SEALED BID,Service,TL-TILE.1CM,DREW-HAMILTON-0434,Expired
1907562,"Various Developments in Manhattan - Repair, Replacement & Painting of Fire Escapes - (PROPER044216 - M. Coggins)",3/25/2019,3/24/2022,MAX BUILDERS INC.,"$142,614.98","$30,682.07",SEALED BID,Service,GR-GENERAL RENOVATION TYPE A.1CM,MANHATTAN PROPERTY MANAGEMENT,Expired
1907062,EASTCHESTER-INSTALL VCT FLOOR TILES IN APARTMENTS-(PROPER049644),3/25/2019,1/8/2020,MOONLITE PAINTING CO. INC.,"$113,837.42","$67,549.01",SMALL PURCHASE,Service,TL-TILE.1CM,EASTCHESTER-0313,Expired
1907071,MELROSE-INSTALL VCT FLOOR TILES IN APARTMENTS-(PROPER49680),3/25/2019,12/6/2019,MOONLITE PAINTING CO. INC.,"$109,118.50","$104,285.14",SMALL PURCHASE,Service,TL-TILE.1CM,MELROSE-0523,Expired
1907250,Safety Panels/Polls,3/25/2019,3/24/2022,UNITED SUPPLY CORP.,"$114,140.54","$80,235.12",SEALED BID,Materials,POLICE EQUIPMENT.SAFETY ITEMS/BARRICADES - MISCELLANEOUS,CityWide/L.I.C. Warehouse,Expired
1907538,"Woodson & Van Dyke II Houses, NGO1 - Installation of Vinyl Floor Tile & Removal & Installation of Vinyl Floor Tile in Apartments - (PROCUR042354 - S. Steverson)",3/25/2019,4/20/2021,RAVINDER KAUR/USA 2 CONSTRUCTION INC,"$63,186.00","$31,725.00",SEALED BID,Service,TL-TILE.1CM,WOODSON - EDP 0285,Expired
1833591,Special Inspections and Related Services IDIQ Contract,3/25/2019,3/24/2025,BUREAU VERITAS TECHNICAL ASSESSMENTS LLC,"$5,500,000.00","$845,084.66",COMPETETIVE RFP,Service,AE-ARCHITECT AND ENGINEER.1CM,VARIOUS PROPERTIES OR DEPARTMENTS,Active
1833509,Special Inspections and Related Services IDIQ Contract,3/25/2019,3/24/2024,"COWI CONSULTING INC F/K/A GANDHI ENGINEERING, INC.","$2,000,000.00","$1,265,455.00",COMPETETIVE RFP,Service,AE-ARCHITECT AND ENGINEER.1CM,CPD-ADMINISTRATION,Expired
2405269,Special Inspections and Related Services IDIQ Contract (This contract replaces 1833591).,3/25/2019,4/26/2024,BUREAU VERITAS NORTH AMERICA INC,"$4,654,915.34",$0.00,COMPETETIVE RFP,Service,AE-ARCHITECT AND ENGINEER.1CM,VARIOUS PROPERTIES OR DEPARTMENTS,Active
1833594,Special Inspections and Related Services IDIQ Contract,3/25/2019,3/24/2025,ALAN MARGOLIN & ASSOCIATES CONSULTING ENGINEERS,"$5,500,000.00","$4,262,091.50",COMPETETIVE RFP,Service,AE-ARCHITECT AND ENGINEER.1CM,VARIOUS PROPERTIES & DEPARTMENTS,Active
1824488,Various NGO Developments in All Five (5) Boroughs - Plaster Restoration - (NEXTGE044065 - M. Coggins),3/25/2019,4/7/2021,MAHI PAINTING INC.,"$1,227,313.50","$1,218,229.68",SEALED BID,Service,PR-PLASTER RESTORATION.SERVICES,NEXT GEN DEVELOPMENTS,Expired
1907401,"Millbrook Houses, Millbrook Ext., Betances II (SH 58) & Betances III (SH 59 & 60), NGO1 - Installation Of Vinyl Floor Tile & Removal & Installation Of Vinyl Floor Tile In Apartments - (PROCUR042363 - S. Steverson)",3/22/2019,10/7/2020,RAVINDER KAUR/USA 2 CONSTRUCTION INC,"$143,867.20","$88,881.90",SEALED BID,Service,TL-TILE.1CM,"BETANCES II, 13, MILLBROOK-0300",Expired
1819003,Boiler Replacement,3/22/2019,5/31/2024,WDF INC.,"$60,383,028.30","$60,383,028.30",SEALED BID,Decar,BL-BOILER REPLACEMENT.1CM,SOTOMAYOR HOUSES - 0222,Active
1906990,WEATHERIZATION AT ROBBINS PLAZA,3/21/2019,1/31/2023,NORTHERN MANHATTAN IMPROVEMENT CORPORATION,"$44,773.00","$44,773.00",NON-COMP - Sole Source,Decar,PS-PROFESSIONAL SERVICES OTHER.1CM,IRA S ROBBINS-0329,Expired
1906994,WEATHERIZATION AT WASHINGTON HEIGHTS (GROUP 1 AND 2),3/21/2019,1/31/2023,NORTHERN MANHATTAN IMPROVEMENT CORPORATION,"$90,150.00","$90,150.00",NON-COMP - Sole Source,Decar,PS-PROFESSIONAL SERVICES OTHER.1CM,WASH HT RHB 1&2-0563,Expired
1822224,BOILER REPLACEMENT (Project # 9851),3/20/2019,12/31/2023,FRAMAN MECHANICAL INC,"$5,739,066.89","$5,739,066.89",SEALED BID,Decar,BL-BOILER REPLACEMENT.1CM,JACKIE ROBINSON-0346,Expired
1906910,WOODSON AND VAN DYKE II HOUSES-INSTALLATION OF VINYL COMPOSITION FLOOR TILE IN APARTMENTS-(PROPER049688-SP),3/20/2019,10/19/2019,"BEESLA PAINTING CO., INC.","$125,652.43","$11,350.50",SMALL PURCHASE,Service,TL-TILE.1CM,WOODSON - EDP 0285,Expired
1906710,3 YEAR BLANKET AGREEMENT FOR ROOFING MATERIAL-RFQ#67750,3/20/2019,3/19/2022,"LIMITED ENTERPRISE, INC","$189,749.17","$74,151.24",SEALED BID,Materials,STRUCTURAL SUPPLIES.ROOFING - NON-METAL,CityWide/L.I.C. Warehouse,Expired
1822225,REPLACEMENT of BOILERS & HOT WATER HEATERS,3/20/2019,12/31/2024,FRAMAN MECHANICAL INC,"$23,385,832.27","$23,205,507.35",SEALED BID,Decar,BL-BOILER REPLACEMENT.1CM,TAFT -0261,Active
1907081,Woodside - Installation of vinyl composition tile in apartments (PROPER049707)(SP),3/19/2019,9/29/2019,"BEESLA PAINTING CO., INC.","$125,636.55","$31,972.45",SMALL PURCHASE,Service,TL-TILE.1CM,WOODSIDE-0316,Expired
1907010,"Riis Houses & Riis II Houses, Manhattan - Installation of Vinyl Floor Tile & Removal & Installation of Vinyl Floor Tile in Apartments - (PROPER042174 - S. Steverson)",3/19/2019,11/22/2020,RAVINDER KAUR/USA 2 CONSTRUCTION INC,"$138,367.00","$84,960.60",SEALED BID,Service,TL-TILE.1CM,JACOB RIIS -0210,Expired
1906844,BUTLER-INSTALL VCT FLOOR TILES IN APARTMENTS-(PROPER049643),3/19/2019,1/25/2020,"BEESLA PAINTING CO., INC.","$100,500.50","$94,001.93",SMALL PURCHASE,Service,TL-TILE.1CM,BUTLER-0435,Expired
1906997,WEATHERIZATION AT WASHINGTON HEIGHTS (GROUP 1 AND 2),3/19/2019,1/31/2023,NORTHERN MANHATTAN IMPROVEMENT CORPORATION,"$89,325.00","$89,325.00",NON-COMP - Sole Source,Decar,PS-PROFESSIONAL SERVICES OTHER.1CM,WASH HT RHB 1&2-0563,Expired
1724356,WINDOW BALANCE ACCESSORIES - RES # 17-10/25-8,3/19/2019,3/18/2022,"BARRY INDUSTRIES, INC. DBA BARRY SUPPLY CO","$324,166.45","$243,492.54",SEALED BID,Materials,HARDWARE.HARDWARE - WINDOW,CityWide/L.I.C. Warehouse,Expired
1906861,"Kingsborough Houses & Kingsborough Extension, Brooklyn - Installation of Vinyl Floor Tile & Removal & Installation of Vinyl Floor Tile in Apartments - (PROPER042038 - S. Steverson)",3/18/2019,3/4/2021,MANGAT CONSTRUCTION CORP.,"$131,898.76","$111,034.98",SEALED BID,Service,TL-TILE.1CM,KINGSBOROUGH-0205,Expired
1906842,"Various Queens & Staten Island Developments, DYCD NGO - Installation of Vinyl Floor Tile in Public Space Areas - (SVPNEX046723 - C. Walton II)",3/18/2019,3/17/2020,AM RESTORATION INC,"$102,200.00","$100,729.60",SEALED BID,Service,TL-TILE.1CM,NGO1 NEXT GENERATION OPS 1,Expired
1906858,"Harlem River Houses, Harlem River II, Audubon Apts, Bethune Gardens & Thurgood Marshall Plaza, Manhattan - Installation of Vinyl Floor Tile & Removal & Installation of Vinyl Floor Tile in Apartments - (PROPER042109 - S. Steverson)",3/18/2019,9/25/2020,METROCITY RENOVATION INC,"$227,778.00","$116,282.50",SEALED BID,Service,TL-TILE.1CM,HARLEM RIVER-0201,Expired
1906853,"Sheepshead Bay & Nostrand Houses, Brooklyn - Installation of Vinyl Floor Tile & Removal & Installation of Vinyl Floor Tile in Apartments - (PROPER042056 - S. Steverson)",3/18/2019,12/17/2020,MANGAT CONSTRUCTION CORP.,"$153,330.12","$142,143.92",SEALED BID,Service,TL-TILE.1CM,SHEEPSHEAD BAY-0314,Expired
1906267,"SMD_MATERIALS_PAPER TOWELS, C-FOLD RFQ#67434,2",3/18/2019,3/17/2023,PATIFCO CORPORATION INC,"$552,747.00","$550,943.49",SEALED BID,Materials,OFFICE SUPPLIES.TOILET TISSUES/TOWELS,CITYWIDE DEVELOPMENTS,Expired
1906764,TAFT-INSTALL VCT FLOORS IN APTS (PROPER049654_SP),3/15/2019,1/26/2020,"BEESLA PAINTING CO., INC.","$100,663.66","$87,221.23",SMALL PURCHASE,Service,TL-TILE.1CM,TAFT -0261,Expired
1906645,ADAMS-INSTALLATION OF VCT FLOOR TILES IN APARTMENTS-(PROPER049671),3/15/2019,3/14/2020,"KHUSHI CONSTRUCTION, INC.","$119,746.00","$26,542.70",SMALL PURCHASE,Service,TL-TILE.1CM,JOHN ADAMS-0248,Expired
1906662,UNION-INSTALLATION OF VCT FLOOR TILES IN APARTMENTS-(PROPER049647),3/15/2019,1/26/2020,"BEESLA PAINTING CO., INC.","$125,368.60","$71,329.60",SMALL PURCHASE,Service,TL-TILE.1CM,UNION AVE E.163-0753,Expired
1906642,BROWNSVILLE-INSTALLATION OF VINYL COMPOSITION FLOOR TILE IN APARTMENTS-(PROPER049677-SP),3/15/2019,3/16/2020,MOONLITE PAINTING CO. INC.,"$111,194.80","$90,114.60",SMALL PURCHASE,Service,TL-TILE.1CM,BROWNSVILLE-0512,Expired
1906644,"LaGuardia Houses, LaGuardia Addition & Two Bridges URA (Site 7), Manhattan - Installation of Vinyl Floor Tile & Removal & Installation of Vinyl Floor Tile in Apartments - (PROPER042169 - S. Steverson)",3/14/2019,11/16/2020,DEEPAK CONTRACTING INC.,"$157,952.75","$141,131.68",SEALED BID,Service,TL-TILE.1CM,LA GUARDIA-0221,Expired
1900012,ENVIRO EQUIPMENT SALES LTD.,3/14/2019,3/13/2022,ENVIRO EQUIPMENT SALES LTD.,"$2,220,100.00","$2,032,235.00",SEALED BID,Materials,MACHINERY.COMPACTOR PARTS LESS CYLINDERS,VARIOUS PROPERTIES & DEPARTMENTS,Expired
1833945,"Elevator Parts , Various (Springs, Switches, Boards) RFQ# 67643",3/12/2019,3/11/2023,ELEVATOR TECHNOLOGY CORP,"$1,310,269.86","$1,145,666.39",SEALED BID,Materials,ELEVATOR PARTS.GAL,CityWide/L.I.C. Warehouse,Expired
1833597,Special Inspections and Related Services IDIQ Contract,3/12/2019,3/11/2025,20/20 INSPECTIONS INC.,"$4,300,000.00","$3,001,940.75",COMPETETIVE RFP,Service,AE-ARCHITECT AND ENGINEER.1CM,VARIOUS PROPERTIES OR DEPARTMENTS,Active
1906282,Developments in All Five (5) Boroughs - Indefinite Delivery Indefinite Quantity (IDIQ) Contract For FDNY 505 Rule Markings - (TECHNI047907 - M. Coggins),3/12/2019,3/28/2021,GENERAL VY-COAT LLC,"$900,000.00","$824,290.81",SEALED BID,Service,PS-PROFESSIONAL SERVICES OTHER.1CM,CITYWIDE DEVELOPMENTS,Expired
1906323,"Richmond Terrace & Cassidy-LaFayette Houses, Queens & Staten Island - Maintenance Painting of Apartments - (NEXTGE041760 - S. Steverson)",3/12/2019,4/7/2022,NEW APS MANAGEMENT CORP,"$442,776.00","$167,798.20",SEALED BID,Service,PD-PAINTING.1CM,RICHMOND TERRAC-0241,Expired
1906283,Developments in All Five (5) Boroughs - Indefinite Delivery Indefinite Quantity (IDIQ) Contract For FDNY 505 Rule Markings - (TECHNI047404 - M. Coggins),3/12/2019,3/28/2021,GENERAL VY-COAT LLC,"$900,000.00","$896,746.56",SEALED BID,Service,PS-PROFESSIONAL SERVICES OTHER.1CM,CITYWIDE DEVELOPMENTS,Expired
1900803,"Marcy Houses, Brooklyn - Maintenance Painting of Apartments - (SELECT041556 - S. Steverson)",3/12/2019,3/18/2022,MOONLITE PAINTING CO. INC.,"$1,089,028.00","$645,159.00",SEALED BID,Service,PD-PAINTING.1CM,MARCY-0514,Expired
1906182,"King Towers & Grampion Houses, Manhattan - Installation of Vinyl Floor Tile & Removal & Installation of Vinyl Floor Tile in Apartments - (PROPER042112 - S. Steverson)",3/11/2019,4/8/2021,AMIT CONSTRUCTION CORP.,"$149,891.06","$90,121.07",SEALED BID,Service,TL-TILE.1CM,MARTIN L KING J-0518,Expired
1906185,"Astoria Houses, Queens & Staten Island Developments - Installation of Vinyl Floor Tile & Removal & Installation of Vinyl Floor Tile in Apartments - (NEXTGE042269 - S. Steverson)",3/11/2019,9/24/2020,AMAR CONSTRUCTION INC.,"$100,092.49","$78,316.50",SEALED BID,Service,TL-TILE.1CM,ASTORIA-0517,Expired
1906218,"Wise Towers, Dehostos Apts, Wise Rehab 48-54 W 94th St., Thomas Apts., W.S.U.R. (Brownstones) W.S.U.R. 120 W 94th St., W.S.U.R. 74 W 94nd St., & W.S.U.R. 589 Amsterdam Ave., - Installation of Vinyl Floor Tile - (NEXTGE042245 - S. Steverson)",3/11/2019,9/30/2020,AMAR CONSTRUCTION INC.,"$202,073.50","$104,631.01",SEALED BID,Service,TL-TILE.1CM,STEPHEN WISE-0445,Expired
1906146,"Stapleton Houses, Mixed Finance - Installation of Vinyl Floor Tile & Removal & Installation of Vinyl Floor Tile in Apartments - (NEXTGE042246 - S. Steverson)",3/11/2019,9/21/2020,AMIT CONSTRUCTION CORP.,"$104,311.89","$82,838.35",SEALED BID,Service,TL-TILE.1CM,STAPLETON-0436,Expired
1906177,"Howard Houses, NGO1 - Installation of Vinyl Floor Tile & Removal & Installation of Vinyl Floor Tile in Apartments - (PROCUR042345 - S. Steverson)",3/11/2019,9/19/2019,AMAR CONSTRUCTION INC.,"$68,684.04","$58,632.43",SEALED BID,Service,TL-TILE.1CM,HOWARD-0568,Expired
1836043,"Grant Houses, Manhattan - Maintenance Painting of Apartments - (PROCUR041625 - S. Steverson)",3/11/2019,3/18/2022,MOONLITE PAINTING CO. INC.,"$2,796,675.00","$1,190,645.00",SEALED BID,Service,PD-PAINTING.1CM,GENERAL GRANT-0232,Expired
1821014,Replacement of Boilers & Hot Water Heaters,3/8/2019,2/5/2022,ROCON CORP,"$9,733,681.39","$9,733,681.39",SEALED BID,Decar,BL-BOILER REPLACEMENT.1CM,FIORENTINO PLAZ-0375,Expired
1821015,REPLACEMENT OF BOILERS & HOT WATER HEATERS,3/8/2019,11/11/2021,"C.D.E. AIR CONDITIONING CO, INC.","$4,205,821.61","$4,189,501.05",SEALED BID,Service,BL-BOILER REPLACEMENT.1CM,L I BAPTIST HOU-0502,Expired
1833362,"Various Brooklyn East & West Developments - Survey, Testing Repair & Alteration to Fire Alarms Systems - (TECHNI046263 - M. Coggins)",3/8/2019,5/31/2023,"IMPERIAL FIRE PROTECTION SYSTEM, INC.","$2,352,274.37","$2,218,790.08",SEALED BID,Service,FR-FIRE ALARM INSTALL/INSPECT/REPAIR.1CM,FIRE SAFETY DEPARTMENT (0158),Expired
1831929,"Patterson Houses, NGO1 - Maintenance Painting of Apartments - (NEXTGE041747 - S. Steverson)",3/8/2019,4/4/2022,NEW APS MANAGEMENT CORP,"$1,080,345.00","$305,560.00",SEALED BID,Service,PD-PAINTING.1CM,PATTERSON HOUSES-0522,Expired
1900807,"Edenwald Houses, Bronx - Maintenance Painting of Apartments - (PROCUR041007 - S. Steverson)",3/8/2019,3/28/2023,SAHARA CONSTRUCTION CORP,"$1,234,460.00","$955,970.00",SEALED BID,Service,PD-PAINTING.1CM,EDENWALD-0214,Expired
1833512,Special Inspections and Related Services IDIQ Contract,3/7/2019,3/6/2025,"DISTINCT ENGINEERING SOLUTIONS INC., P.C.","$5,500,000.00","$4,058,020.95",COMPETETIVE RFP,Service,AE-ARCHITECT AND ENGINEER.1CM,VARIOUS PROJECT-VARP,Active
1900805,"Ingersoll Houses, Brooklyn - Maintenance Painting of Apartments - (PROCUR041551 - S. Steverson)",3/7/2019,4/30/2022,"SATGUR CONSTRUCTION, INC.","$1,041,262.00","$724,087.00",SEALED BID,Service,PD-PAINTING.1CM,INGERSOLL-0510,Expired
1900806,"Sheepshead Bay Houses & Nostrand Houses, Brooklyn - Maintenance Painting of Apartments - (PROCUR041574 - S. Steverson)",3/6/2019,3/11/2022,AMAZONAS PAINTING CORP.,"$1,332,075.60","$869,071.20",SEALED BID,Service,PD-PAINTING.1CM,SHEEPSHEAD BAY-0314,Expired
1905737,"Carey Gardens, Coney Island I (Site 1B) & Haber Houses, Brooklyn - Installation of Vinyl Floor Tile & Removal & Installation of Vinyl Floor Tile in Apartments - (PROPER041987 - S. Steverson)",3/6/2019,12/30/2020,AMIT CONSTRUCTION CORP.,"$140,892.41","$70,193.91",SEALED BID,Service,TL-TILE.1CM,VARIOUS PROPERTIES OR DEPARTMENTS,Expired
1900801,"Van Dyke I Houses, NGO1 - Maintenance Painting of Apartments - (PROCUR041499 - S. Steverson)",3/6/2019,3/11/2022,"VIRINDER, INC.","$1,036,432.40","$702,789.00",SEALED BID,Service,PD-PAINTING.1CM,VAN DYKE-0216,Expired
1905633,"Latimer Gardens, Bland Houses, Leavitt St-34th Ave & College Point Rehab, Queens - Installation of Vinyl Floor Tile & Removal & Installation of Vinyl Floor Tile in Apartments - (NEXTGE042275 - S. Steverson)",3/5/2019,6/24/2020,SIMSIM CONSTRUCTION INC,"$109,127.30","$74,011.60",SEALED BID,Service,TL-TILE.1CM,QUEENS-SI PROPERTY MANAGEMENT (0122),Expired
1903138,IT- Oracle Software App Maintenance Renewal OGS Contract PM20940,3/2/2019,8/22/2020,"MYTHICS, LLC","$705,771.69","$705,771.69",GOVERMENT LIST,Service,CP-COMPUTER.1CM,IT INFRASTRUCTURE,Expired
1905266,SMD_MATERIAL_Electronic Keyless Access Control Locks,3/1/2019,2/28/2022,"TEC SOLUTIONS CONCEPTS, INC DBA/TEC SOLUTIONS INC","$709,502.74","$508,185.00",SEALED BID,Materials,HARDWARE.HARDWARE - DOOR,VARIOUS PROPERTIES OR DEPARTMENTS,Expired
1732752,Grounds and play area improvements and related work - B'klyn & S.I.,2/28/2019,6/26/2024,EMPIRE CONTROL ABATEMENT INC,"$11,464,064.93","$9,240,300.07",SEALED BID,Decar,GD-GROUNDS AND GROUNDS MAINTENANCE.1CM,VARIOUS PROJECT-VARP,Active
1819940,BOILER & WATER HEATER REPLACEMENT AT BUILDING #7,2/28/2019,4/20/2023,KORDUN CONSTRUCTION CORP,"$36,905,876.71","$36,905,876.71",SEALED BID,Decar,BL-BOILER REPLACEMENT.1CM,CYPRESS HILL-0536,Expired
1821009,Boiler Replacement,2/27/2019,3/23/2025,"RICHARDS PLUMBING AND HEATING CO., INC.","$34,780,842.59","$34,335,823.11",SEALED BID,Service,BL-BOILER REPLACEMENT.1CM,FARRAGUT-0532,Active
1827472,Capital Plus Boiler/Hot Water Heaters Replacement,2/27/2019,11/8/2024,NAVILLUS TILE INC D/B/A NAVILLUS CONTRACTING,"$63,848,220.82","$63,290,864.00",SEALED BID,Service,BL-BOILER REPLACEMENT.1CM,VARIOUS PROJECT-VARP,Active
1833506,"MP ENGINEERS, P.C.",2/27/2019,2/26/2025,"MP ENGINEERS AND ARCHITECTS, P.C.","$7,500,000.00","$4,623,382.00",COMPETETIVE RFP,Service,AE-ARCHITECT AND ENGINEER.1CM,VARIOUS PROJECT-VARP,Active
1816555,REPLACEMENT OF BOILERS & HOT WATER HEATERS,2/27/2019,3/23/2024,"RICHARDS PLUMBING AND HEATING CO., INC.","$33,903,413.46","$32,963,177.19",SEALED BID,Decar,BL-BOILER REPLACEMENT.1CM,RALPH RANGEL-0317,Expired
1902879,Elevator Parts (Rixon),2/26/2019,2/25/2022,ELEVATOR TECHNOLOGY CORP,"$68,375.35","$53,235.80",SEALED BID,Materials,ELEVATOR PARTS.RIXON,VARIOUS PROPERTIES OR DEPARTMENTS,Expired
1905077,"Woodson- Purchase, Delivery and Training of Bulk Crusher System (MANAGE049157 - C. Bruno)",2/26/2019,9/30/2019,"PREMIER COMPACTION SYSTEMS, LLC.","$99,900.00","$99,900.00",SEALED BID,Service,SM-SMALL PURCHASE.ELECTRICAL,WOODSON - EDP 0285,Expired
1904715,"Johnson Houses, Manhattan - New Main Electrical Riser at Building #6 Apartments B & C - (PROPER047912 - M. Coggins)",2/21/2019,5/20/2019,MAC FHIONNGHAILE & SONS ELECTRICAL CONTRACTING INC,"$442,338.26",$0.00,SEALED BID,Service,SM-SMALL PURCHASE.ELECTRICAL,J W JOHNSON-0516,Expired
1817796,Construction Management as Agent Services for IDIQ,2/20/2019,4/1/2024,"AECOM USA, INC","$28,600,000.00","$25,360,510.46",COMPETETIVE RFP,Service,CM-CONSTRUCTION MANAGERS AS AGENTS.1CM,VARIOUS PROPERTIES & DEPARTMENTS,Expired
1904592,"Pennsylvania Ave-Wortman Ave. & Vandalia Avenue Houses, Brooklyn - Installation of Vinyl Floor Tile & Removal & Installation of Vinyl Floor Tile in Apartments - (PROPER042046 - S. Steverson)",2/20/2019,4/19/2020,RAVINDER KAUR/USA 2 CONSTRUCTION INC,"$64,820.80","$64,820.80",SEALED BID,Service,TL-TILE.1CM,PENN/WORTMAN -0305,Expired
1904609,Various Mixed Finance Developments in The Five (5) Boroughs - Repair & Replacement of Hopper Doors & Pans - (NEXTGE044802 - M. Coggins),2/20/2019,2/19/2021,SPEEDO CORPORATION,"$66,254.57","$66,124.98",SEALED BID,Service,GR-GENERAL RENOVATION TYPE A.1CM,MIXED FINANCE ASSET MGT,Expired
1904600,"Murphy Houses & 1010 East 178th St. Houses, Mixed Finance - Installation of Vinyl Floor Tile & Removal & Installation of Vinyl Floor Tile in Apartments - (NEXTGE042236 - S. Steverson)",2/20/2019,1/23/2021,DEEPAK CONTRACTING INC.,"$101,777.05","$36,485.20",SEALED BID,Service,TL-TILE.1CM,1010 EAST 178TH STREET-0289,Expired
1732758,Grounds and play area improvements and related work - Bronx,2/19/2019,3/25/2024,EMPIRE CONTROL ABATEMENT INC,"$9,226,542.18","$7,885,330.01",SEALED BID,Decar,GD-GROUNDS AND GROUNDS MAINTENANCE.1CM,VARIOUS PROPERTIES OR DEPARTMENTS,Expired
1831047,"Jefferson Houses, Corsi Houses & 335 East 111th Street, NGO - Maintenance Painting of Apartments (PROCUR041312 - S. Steverson)",2/19/2019,2/25/2022,"BEESLA PAINTING CO., INC.","$1,025,664.61","$496,015.96",SEALED BID,Service,PD-PAINTING.1CM,JEFFERSON HOUSE-0219,Expired
